date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
2021-04-01,12839844,91097,74239.286,325284,3769,3117.429,60405.908,428.572,349.264,1530.32,17.732,14.666
2021-04-02,12910082,70238,72238.286,328206,2922,3013.429,60736.347,330.439,339.85,1544.067,13.747,14.177
2021-04-03,12953597,43515,66176.429,330193,1987,2806.143,60941.066,204.719,311.331,1553.415,9.348,13.202
2021-04-04,12984956,31359,64324,331433,1240,2746.714,61088.597,147.531,302.617,1559.249,5.834,12.922
2021-04-05,13013601,28645,62855.143,332752,1319,2698,61223.359,134.762,295.706,1565.454,6.205,12.693
2021-04-06,13100580,86979,63210.143,336947,4195,2757.286,61632.558,409.199,297.376,1585.19,19.736,12.972
2021-04-07,13193205,92625,63494,340776,3829,2751.571,62068.318,435.761,298.712,1603.204,18.014,12.945
2021-04-08,13279857,86652,62859,345025,4249,2820.143,62475.978,407.66,295.724,1623.193,19.99,13.268
2021-04-09,13373174,93317,66156,348718,3693,2930.286,62914.994,439.016,311.235,1640.567,17.374,13.786
2021-04-10,13445006,71832,70201.286,351334,2616,3020.143,63252.933,337.938,330.267,1652.874,12.307,14.208
2021-04-11,13482023,37017,71009.571,353137,1803,3100.571,63427.082,174.149,334.069,1661.357,8.482,14.587
2021-04-12,13517808,35785,72029.571,354617,1480,3123.571,63595.435,168.353,338.868,1668.319,6.963,14.695
2021-04-13,13599994,82186,71344.857,358425,3808,3068.286,63982.084,386.65,335.647,1686.234,17.915,14.435
2021-04-14,13673507,73513,68614.571,361884,3459,3015.429,64327.931,345.847,322.802,1702.508,16.273,14.186
2021-04-15,13746681,73174,66689.143,365444,3560,2917,64672.183,344.252,313.744,1719.256,16.748,13.723
2021-04-16,13832455,85774,65611.571,368749,3305,2861.571,65075.713,403.53,308.674,1734.804,15.549,13.462
2021-04-17,13900091,67636,65012.143,371678,2929,2906.286,65393.911,318.198,305.854,1748.584,13.78,13.673
2021-04-18,13943071,42980,65864,373335,1657,2885.429,65596.113,202.202,309.862,1756.38,7.795,13.575
2021-04-19,13973695,30624,65126.714,374682,1347,2866.429,65740.186,144.073,306.393,1762.717,6.337,13.485
2021-04-20,14043076,69381,63297.429,378003,3321,2796.857,66066.593,326.408,297.787,1778.34,15.624,13.158
2021-04-21,14122795,79719,64184,381475,3472,2798.714,66441.637,375.043,301.958,1794.675,16.334,13.167
2021-04-22,14167973,45178,60184.571,383502,2027,2579.714,66654.179,212.543,283.142,1804.211,9.536,12.136
2021-04-23,14237078,69105,57803.286,386416,2914,2523.857,66979.289,325.109,271.939,1817.92,13.709,11.874
