date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
2021-04-01,90274,9,11.286,4636,0,0,62.72,0.006,0.008,3.221,0,0
2021-04-02,90300,26,13.286,4636,0,0,62.738,0.018,0.009,3.221,0,0
2021-04-03,90320,20,14.571,4636,0,0,62.752,0.014,0.01,3.221,0,0
2021-04-04,90353,33,17.571,4636,0,0,62.775,0.023,0.012,3.221,0,0
2021-04-05,90377,24,19.857,4636,0,0,62.791,0.017,0.014,3.221,0,0
2021-04-06,90389,12,20,4636,0,0,62.8,0.008,0.014,3.221,0,0
2021-04-07,90414,25,21.286,4636,0,0,62.817,0.017,0.015,3.221,0,0
2021-04-08,90435,21,23,4636,0,0,62.832,0.015,0.016,3.221,0,0
2021-04-09,90449,14,21.286,4636,0,0,62.841,0.01,0.015,3.221,0,0
2021-04-10,90459,10,19.857,4636,0,0,62.848,0.007,0.014,3.221,0,0
2021-04-11,90475,16,17.429,4636,0,0,62.859,0.011,0.012,3.221,0,0
2021-04-12,90484,9,15.286,4636,0,0,62.866,0.006,0.011,3.221,0,0
2021-04-13,90496,12,15.286,4636,0,0,62.874,0.008,0.011,3.221,0,0
2021-04-14,90506,10,13.143,4636,0,0,62.881,0.007,0.009,3.221,0,0
2021-04-15,90517,11,11.714,4636,0,0,62.889,0.008,0.008,3.221,0,0
2021-04-16,90532,15,11.857,4636,0,0,62.899,0.01,0.008,3.221,0,0
2021-04-17,90548,16,12.714,4636,0,0,62.91,0.011,0.009,3.221,0,0
2021-04-18,90559,11,12,4636,0,0,62.918,0.008,0.008,3.221,0,0
2021-04-19,90569,10,12.143,4636,0,0,62.925,0.007,0.008,3.221,0,0
2021-04-20,90590,21,13.429,4636,0,0,62.939,0.015,0.009,3.221,0,0
2021-04-21,90596,6,12.857,4636,0,0,62.943,0.004,0.009,3.221,0,0
2021-04-22,90615,19,14,4636,0,0,62.957,0.013,0.01,3.221,0,0
2021-04-23,90624,9,13.143,4636,0,0,62.963,0.006,0.009,3.221,0,0
2021-04-24,90637,13,12.714,4636,0,0,62.972,0.009,0.009,3.221,0,0
2021-04-25,90648,11,12.714,4636,0,0,62.98,0.008,0.009,3.221,0,0
2021-04-26,90659,11,12.857,4636,0,0,62.987,0.008,0.009,3.221,0,0
2021-04-27,90671,12,11.571,4636,0,0,62.996,0.008,0.008,3.221,0,0
2021-04-28,90691,20,13.571,4636,0,0,63.009,0.014,0.009,3.221,0,0
2021-04-29,90704,13,12.714,4636,0,0,63.018,0.009,0.009,3.221,0,0
2021-04-30,90720,16,13.714,4636,0,0,63.03,0.011,0.01,3.221,0,0
2021-05-01,90735,15,14,4636,0,0,63.04,0.01,0.01,3.221,0,0
2021-05-02,90746,11,14,4636,0,0,63.048,0.008,0.01,3.221,0,0
2021-05-03,90763,17,14.857,4636,0,0,63.059,0.012,0.01,3.221,0,0
2021-05-04,90770,7,14.143,4636,0,0,63.064,0.005,0.01,3.221,0,0
2021-05-05,90775,5,12,4636,0,0,63.068,0.003,0.008,3.221,0,0
2021-05-06,90788,13,12,4636,0,0,63.077,0.009,0.008,3.221,0,0
2021-05-07,90795,7,10.714,4636,0,0,63.082,0.005,0.007,3.221,0,0
2021-05-08,90807,12,10.286,4636,0,0,63.09,0.008,0.007,3.221,0,0
2021-05-09,90818,11,10.286,4636,0,0,63.098,0.008,0.007,3.221,0,0
2021-05-10,90832,14,9.857,4636,0,0,63.107,0.01,0.007,3.221,0,0
2021-05-11,90848,16,11.143,4636,0,0,63.119,0.011,0.008,3.221,0,0
2021-05-12,90857,9,11.714,4636,0,0,63.125,0.006,0.008,3.221,0,0
2021-05-13,90864,7,10.857,4636,0,0,63.13,0.005,0.008,3.221,0,0
2021-05-14,90878,14,11.857,4636,0,0,63.139,0.01,0.008,3.221,0,0
2021-05-15,90896,18,12.714,4636,0,0,63.152,0.013,0.009,3.221,0,0
2021-05-16,90922,26,14.857,4636,0,0,63.17,0.018,0.01,3.221,0,0
2021-05-17,90944,22,16,4636,0,0,63.185,0.015,0.011,3.221,0,0
2021-05-18,90958,14,15.714,4636,0,0,63.195,0.01,0.011,3.221,0,0
2021-05-19,90970,12,16.143,4636,0,0,63.203,0.008,0.011,3.221,0,0
2021-05-20,90994,24,18.571,4636,0,0,63.22,0.017,0.013,3.221,0,0
