date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
2021-04-01,12303131,81466,65211.286,163396,469,349.571,8915.284,59.033,47.254,118.403,0.34,0.253
2021-04-02,12392260,89129,69050,164110,714,410,8979.87,64.586,50.036,118.92,0.517,0.297
2021-04-03,12485509,93249,73412.143,164623,513,438.714,9047.442,67.572,53.197,119.292,0.372,0.318
2021-04-04,12589067,103558,78489,165101,478,465.429,9122.483,75.042,56.876,119.638,0.346,0.337
2021-04-05,12686049,96982,84313.429,165547,446,490.429,9192.76,70.277,61.096,119.961,0.323,0.355
2021-04-06,12801785,115736,93207.143,166177,630,529.857,9276.626,83.866,67.541,120.418,0.457,0.384
2021-04-07,12928574,126789,100987,166862,685,562.143,9368.502,91.876,73.179,120.914,0.496,0.407
2021-04-08,13060542,131968,108201.571,167642,780,606.571,9464.131,95.629,78.407,121.479,0.565,0.44
2021-04-09,13205926,145384,116238,168436,794,618,9569.481,105.35,84.23,122.055,0.575,0.448
2021-04-10,13358805,152879,124756.571,169275,839,664.571,9680.263,110.782,90.403,122.663,0.608,0.482
2021-04-11,13527717,168912,134092.857,170179,904,725.429,9802.662,122.4,97.168,123.318,0.655,0.526
2021-04-12,13689453,161736,143343.429,171058,879,787.286,9919.862,117.2,103.872,123.955,0.637,0.57
2021-04-13,13873825,184372,153148.571,172085,1027,844,10053.464,133.602,110.977,124.699,0.744,0.612
2021-04-14,14074564,200739,163712.857,173123,1038,894.429,10198.927,145.463,118.632,125.451,0.752,0.648
2021-04-15,14291917,217353,175910.714,174308,1185,952.286,10356.429,157.502,127.471,126.31,0.859,0.69
2021-04-16,14526609,234692,188669,175649,1341,1030.429,10526.495,170.066,136.716,127.281,0.972,0.747
2021-04-17,14788003,261394,204171.143,177150,1501,1125,10715.91,189.415,147.95,128.369,1.088,0.815
2021-04-18,15061805,273802,219155.429,178769,1619,1227.143,10914.317,198.407,158.808,129.542,1.173,0.889
2021-04-19,15320972,259167,233074.143,180530,1761,1353.143,11102.118,187.802,168.894,130.818,1.276,0.981
2021-04-20,15616130,295158,248900.714,182553,2023,1495.429,11316,213.882,180.362,132.284,1.466,1.084
2021-04-21,15930774,314644,265172.857,184657,2104,1647.714,11544.002,228.002,192.154,133.809,1.525,1.194
2021-04-22,16263695,332921,281682.571,186920,2263,1801.714,11785.249,241.246,204.117,135.449,1.64,1.306
2021-04-23,16610481,346786,297696,189544,2624,1985,12036.542,251.293,215.721,137.35,1.901,1.438
2021-04-24,16960172,349691,310309.857,192311,2767,2165.857,12289.941,253.398,224.862,139.355,2.005,1.569
2021-04-25,17313163,352991,321622.571,195123,2812,2336.286,12545.73,255.79,233.059,141.393,2.038,1.693
2021-04-26,17636186,323023,330744.857,197894,2771,2480.571,12779.804,234.074,239.669,143.401,2.008,1.798
2021-04-27,17997113,360927,340140.429,201187,3293,2662,13041.345,261.54,246.478,145.787,2.386,1.929
2021-04-28,18376421,379308,349378.143,204832,3645,2882.143,13316.205,274.86,253.172,148.429,2.641,2.089
2021-04-29,18762976,386555,357040.143,208330,3498,3058.571,13596.316,280.111,258.724,150.963,2.535,2.216
2021-04-30,19164969,401993,364926.857,211853,3523,3187,13887.615,291.298,264.439,153.516,2.553,2.309
2021-05-01,19557457,392488,371040.714,215542,3689,3318.714,14172.025,284.411,268.869,156.189,2.673,2.405
2021-05-02,19925517,368060,373193.429,218959,3417,3405.143,14438.735,266.709,270.429,158.665,2.476,2.467
2021-05-03,20282833,357316,378092.429,222408,3449,3502,14697.658,258.924,273.979,161.165,2.499,2.538
2021-05-04,20664979,382146,381123.714,226188,3780,3571.571,14974.575,276.917,276.176,163.904,2.739,2.588
2021-05-05,21077410,412431,385855.571,230168,3980,3619.429,15273.437,298.862,279.605,166.788,2.884,2.623
2021-05-06,21491598,414188,389803.143,234083,3915,3679,15573.572,300.135,282.465,169.625,2.837,2.666
2021-05-07,21892676,401078,389672.429,238270,4187,3773.857,15864.208,290.635,282.37,172.659,3.034,2.735
2021-05-08,22296081,403405,391232,242347,4077,3829.286,16156.529,292.322,283.501,175.613,2.954,2.775
2021-05-09,22662575,366494,391008.286,246116,3769,3879.571,16422.104,265.575,283.338,178.344,2.731,2.811
2021-05-10,22992517,329942,387097.714,249992,3876,3940.571,16661.191,239.088,280.505,181.153,2.809,2.855
2021-05-11,23340938,348421,382279.857,254197,4205,4001.286,16913.669,252.478,277.014,184.2,3.047,2.899
2021-05-12,23703665,362727,375179.286,258317,4120,4021.286,17176.514,262.845,271.868,187.186,2.985,2.914
2021-05-13,24046809,343144,365030.143,262317,4000,4033.429,17425.169,248.654,264.514,190.084,2.899,2.923
2021-05-14,24372907,326098,354318.714,266207,3890,3991,17661.471,236.302,256.752,192.903,2.819,2.892
